filename	tipo	texto
lugar_secreto_72.jpeg	misterioso	Estructura abandonada antes de los caracoles del Paso Internacional Los Libertadores
lugar_secreto_73.jpeg	religioso	Iglesia pasado Los Andes, camino al Paso Internacional Los Libertadores
lugar_secreto_74.jpeg	histórico	Túneles ferroviarios abandonados sobre el río Aconcagua, Los Andes
lugar_secreto_75.jpeg	religioso	Iglesia pasado Los Andes, camino al Paso Internacional Los Libertadores
lugar_secreto_76.jpeg	religioso	Capilla, sector El Abra, Requínoa
lugar_secreto_77.jpeg	histórico	Casona abandonada y derrumbada, sector Chorombo, Ibacache
lugar_secreto_110.jpeg	curioso	Barco abandonado cerca del terminal pesquero de Lo Espejo
lugar_secreto_111.jpeg	naturaleza	Cueva en el sector de Las Varas, camino a Farellones
lugar_secreto_112.jpeg	industrial	Subestación eléctrica abandonada de Rungue
lugar_secreto_11212.jpeg	religioso	Gruta en una cueva
lugar_secreto_113.jpeg	religioso	Cristo metálico WarHammer 40K
lugar_secreto_114.jpeg	misterioso	Túnel El Tinoco
lugar_secreto_115.jpeg	industrial	Infraestructura de hidroeléctrica, río Colorado
lugar_secreto_116.jpeg	misterioso	Edificio de departamentos abandonado, Rancagua
lugar_secreto_117.jpeg	industrial	Chimeneas Lechería
lugar_secreto_118.jpeg	industrial	Túneles del parque inundable, Zanjón de la Aguada
lugar_secreto_119.jpeg	religioso	Altar a San Expedito
lugar_secreto_1110.jpeg	curioso	Bicicleta en ruta Concón-Quillota
lugar_secreto_1111.jpeg	curioso	Pingüino satánico
lugar_secreto_1112.jpeg	industrial	Cervecería CCU, Limache
lugar_secreto_1113.jpeg	curioso	Pirque, arriero metálico
lugar_secreto_1114.jpeg	religioso	Subterráneo de la Iglesia de los Sacramentinos
lugar_secreto_1115.jpeg	religioso	Interior de la Iglesia de Santa Ana
lugar_secreto_1116.jpeg	curioso	Esculturas en quebrada de Algarrobo
lugar_secreto_1117.jpeg	religioso	Virgen en la playa de Las Cruces
lugar_secreto_1118.jpeg	religioso	Cristo rural
lugar_secreto_1119.jpeg	religioso	Altar a al virgen, Nuestra Señora del Carmen, Puangue
lugar_secreto_1120.jpeg	industrial	Pasarelas, villa Portales
lugar_secreto_1121.jpeg	industrial	Paso bajo nivel, avenida Carrascal
lugar_secreto_1122.jpeg	misterioso	Cueva en cerro Santa Lucía
lugar_secreto_1123.jpeg	industrial	Debajo de la autopista Vespucio, El Cortijo
lugar_secreto_1124.jpeg	religioso	Virgen en hospital Salvador
lugar_secreto_1125.jpeg	religioso	Interior del campanario de la Catedral de Santiago
lugar_secreto_1126.jpeg	histórico	Torreón, Matta Sur
lugar_secreto_1127.jpeg	industrial	Maestranza
lugar_secreto_1128.jpeg	religioso	Virgen en el cerro, camino al Toyo
lugar_secreto_1129.jpeg	misterioso	Casona embrujada, camino al Volcán
lugar_secreto_1130.jpeg	religioso	Capilla Nuestra Señora de Las Mercedes, El Volcán
lugar_secreto_1131.jpeg	industrial	Hidroeléctrica
lugar_secreto_1132.jpeg	social	Memorial a Reinalda Del Carmen Pereira
lugar_secreto_1133.jpeg	social	Memorial a víctimas de la dictadura, cuesta Barriga
lugar_secreto_1134.jpeg	industrial	Paso inferior de agua, camino al Toyo
lugar_secreto_11112.jpeg	industrial	Compuertas de la represa del lago Rapel
lugar_secreto_81.jpeg	misterioso	Chancheras abandonadas, El Monte
lugar_secreto_82.jpeg	industrial	Puente ferroviario, Talagante
lugar_secreto_83.jpeg	misterioso	Casa abandonada, Loreto, camino a Lonquén
lugar_secreto_84.jpeg	industrial	Torre de agua y pasarela, increíble combinación
lugar_secreto_85.jpeg	religioso	Cristo Huaso de Lagunillas


